Country,Region,Rank_2015,Score_2015,GDP_2015,Family_2015,Health_2015,Freedom_2015,Corruption_2015,Generosity_2015,Dystopia_2015,Rank_2019,Score_2019,GDP_2019,Social_2019,Health_2019,Freedom_2019,Corruption_2019,Generosity_2019,Score_Diff,GDP_Diff,Rank_Diff
Malawi,Sub-Saharan Africa,131,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,2.80791,150,3.41,0.191,0.56,0.495,0.443,0.089,0.218,-0.8819999999999997,0.17496,-19
Sri Lanka,Southern Asia,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,0.67108,130,4.366,0.949,1.265,0.831,0.47,0.047,0.244,0.09499999999999975,0.11375999999999997,2
Cameroon,Sub-Saharan Africa,133,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,1.95071,96,5.044,0.549,0.91,0.331,0.381,0.037,0.187,0.7919999999999998,0.12650000000000006,37
Bulgaria,Central and Eastern Europe,134,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,0.89991,97,5.011,1.092,1.513,0.815,0.311,0.004,0.081,0.7930000000000001,0.07984000000000013,37
Egypt,Middle East and Northern Africa,135,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,1.59927,137,4.166,0.913,1.039,0.644,0.241,0.067,0.076,-0.02799999999999958,0.031200000000000006,-2
Yemen,Middle East and Northern Africa,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,1.92313,151,3.38,0.287,1.163,0.463,0.143,0.077,0.108,-0.6970000000000001,-0.25949000000000005,-15
Mali,Sub-Saharan Africa,138,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,1.79293,128,4.39,0.385,1.105,0.308,0.327,0.052,0.153,0.3949999999999996,0.12425999999999998,10
Congo (Brazzaville),Sub-Saharan Africa,139,3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,1.68135,103,4.812,0.673,0.799,0.508,0.372,0.093,0.105,0.8230000000000004,-0.005659999999999998,36
Comoros,Sub-Saharan Africa,140,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,1.95812,142,3.973,0.274,0.757,0.505,0.142,0.078,0.275,0.016999999999999904,0.03494000000000003,-2
Uganda,Sub-Saharan Africa,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,1.42766,136,4.189,0.332,1.069,0.443,0.356,0.06,0.252,0.258,0.12098,5
Senegal,Sub-Saharan Africa,142,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,1.44395,111,4.681,0.45,1.134,0.571,0.292,0.072,0.153,0.7770000000000001,0.08501999999999998,31
Gabon,Sub-Saharan Africa,143,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,0.99895,104,4.799,1.057,1.183,0.571,0.295,0.055,0.043,0.9030000000000005,-0.0032400000000001317,39
Niger,Sub-Saharan Africa,144,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,1.87877,114,4.628,0.138,0.774,0.366,0.318,0.102,0.188,0.7829999999999999,0.06860000000000001,30
Cambodia,Southeastern Asia,145,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,0.98195,109,4.7,0.574,1.122,0.637,0.609,0.062,0.232,0.8810000000000002,0.11361999999999994,36
Tanzania,Sub-Saharan Africa,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,1.38079,153,3.231,0.476,0.885,0.499,0.417,0.147,0.276,-0.5500000000000003,0.19079999999999997,-7
Madagascar,Sub-Saharan Africa,147,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,1.851,143,3.933,0.274,0.916,0.555,0.148,0.041,0.169,0.2519999999999998,0.06576000000000001,4
Central African Republic,Sub-Saharan Africa,148,3.678,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,2.7223,155,3.083,0.026,0.0,0.105,0.225,0.035,0.235,-0.5949999999999998,-0.052500000000000005,-7
Chad,Sub-Saharan Africa,149,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,1.94296,132,4.35,0.35,0.766,0.192,0.174,0.078,0.198,0.6829999999999998,0.008069999999999966,17
Guinea,Sub-Saharan Africa,150,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,1.99172,118,4.534,0.38,0.829,0.375,0.332,0.086,0.207,0.8779999999999997,0.20583,32
Ivory Coast,Sub-Saharan Africa,151,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,1.41723,99,4.944,0.569,0.808,0.232,0.352,0.09,0.154,1.2890000000000001,0.10365999999999997,52
Burkina Faso,Sub-Saharan Africa,152,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,1.46494,115,4.587,0.331,1.056,0.38,0.255,0.113,0.177,0.9999999999999996,0.07288,37
Afghanistan,Southern Asia,153,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,154,3.203,0.35,0.517,0.361,0.0,0.025,0.158,-0.37200000000000033,0.030179999999999985,-1
Rwanda,Sub-Saharan Africa,154,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,0.67042,152,3.334,0.359,0.711,0.614,0.555,0.411,0.217,-0.13099999999999978,0.13692,2
Benin,Sub-Saharan Africa,155,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,1.63328,102,4.883,0.393,0.437,0.397,0.349,0.082,0.175,1.5430000000000001,0.10635,53
Syria,Middle East and Northern Africa,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,0.32858,149,3.462,0.619,0.378,0.44,0.013,0.141,0.331,0.4560000000000004,-0.04420000000000002,7
Burundi,Sub-Saharan Africa,157,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,1.83302,145,3.775,0.046,0.447,0.38,0.22,0.18,0.176,0.8700000000000001,0.030699999999999998,12
Togo,Sub-Saharan Africa,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,1.56726,139,4.085,0.275,0.572,0.41,0.293,0.085,0.177,1.246,0.06632000000000002,19
